category|title|description
kinh-doanh          |Tỷ giá giảm đồng loạt, chuyên gia dự báo gì?                                                                                                                                                            |Chuyên gia cho rằng cần thêm các giải pháp tổng thể để tăng cung ngoại tệ, ổn định tỷ giá.                                                                                                                                                                                                                                                                                                                                                                                                                          
the-thao            |Lý Hoàng Nam thắng dễ Trịnh Linh Giang ở giải pickleball châu Á                                                                                                                                         |Đà Nẵng Tay vợt Lý Hoàng Nam lần thứ hai liên tiếp hạ Trịnh Linh Giang ở tứ kết một sự kiện PPA Tour Asia khi tái ngộ tại giải MB Vietnam Cup 2025, trưa 2/10.                                                                                                                                                                                                                                                                                                                                                      
the-thao            |Ông Trump cân nhắc chuyển địa điểm thi đấu World Cup 2026                                                                                                                                               |Tổng thống Mỹ Donald Trump tuyên bố sẵn sàng xem xét việc dời các trận đấu thuộc World Cup 2026 khỏi những thành phố thiếu an toàn, nhưng bị FIFA bác bỏ.                                                                                                                                                                                                                                                                                                                                                           
the-thao            |Haaland xem nhẹ việc chinh phục thành tích của Messi                                                                                                                                                    |Pháp Tiền đạo Erling Haaland không quan tâm tới thành tích cá nhân và trách bản thân phung phí cơ hội trong trận Man City hòa Monaco 2-2 ở Champions League.                                                                                                                                                                                                                                                                                                                                                        
the-thao            |Flick: 'Sau 30 phút, PSG khiến Barca tan rã'                                                                                                                                                            |Tây Ban Nha HLV Hansi Flick thừa nhận Barca yếu hơn trong trận thua PSG 1-2 ở lượt hai vòng bảng Champions League, tối 1/10.                                                                                                                                                                                                                                                                                                                                                                                        
the-thao            |De Bruyne so sánh Hojlund với Haaland                                                                                                                                                                   |Italy Theo tiền vệ Napoli Kevin de Bruyne, Rasmus Hojlund có phong cách thi đấu tương tự đồng đội cũ ở Man City, Erling Haaland.                                                                                                                                                                                                                                                                                                                                                                                    
the-thao            |Enrique: 'Thật sáo rỗng khi Barca thua và đổ lỗi cho thể lực'                                                                                                                                           |Tây Ban Nha HLV Luis Enrique phản bác ý kiến PSG thắng nhờ thể lực trong trận hạ Barca 2-1 ở lượt hai vòng bảng Champions League, tối 1/10.                                                                                                                                                                                                                                                                                                                                                                         
the-thao            |Sinner thắng dễ Tien ở chung kết Trung Quốc Mở rộng                                                                                                                                                     |Trung Quốc Tay vợt số hai thế giới Jannik Sinner đánh bại đối thủ gốc Việt Learner Tien 6-2, 6-2 ở chung kết Trung Quốc Mở rộng hôm 1/10.                                                                                                                                                                                                                                                                                                                                                                           
the-thao            |Người dẫn Champions League 'ảo' gây sốt                                                                                                                                                                 |Nữ MC xinh đẹp mang tên Eysan Aksoy, sản phẩm được tạo ra bằng trí tuệ nhân tạo, đang gây sốt mạng xã hội Thổ Nhĩ Kỳ.                                                                                                                                                                                                                                                                                                                                                                                               
the-thao            |PSG thắng ngược Barca                                                                                                                                                                                   |Tây Ban Nha Không có Quả Bóng Vàng 2025 - Ousmane Dembele, nhưng đội khách PSG vẫn thắng Barca 2-1 ở lượt hai vòng bảng Champions League.                                                                                                                                                                                                                                                                                                                                                                           
